,property_id,displayPrice,dateSold,tenure,newBuild
111,1fbc0509-40ff-4ad8-bddb-f1fdeacd4312,"£149,950",24 Jun 2005,Freehold,False
112,1fbc0509-40ff-4ad8-bddb-f1fdeacd4312,"£79,950",22 Oct 2001,Freehold,False
113,1fbc0509-40ff-4ad8-bddb-f1fdeacd4312,"£58,250",1 Oct 1999,Freehold,False
114,d3182840-9c45-4d93-8273-9a5662f89e59,"£290,000",26 Aug 2022,Freehold,False
115,3b9395f1-284a-4d39-a9af-e25617d59647,"£337,000",26 Aug 2022,Freehold,False
116,2b8b6eb4-ac77-4253-9a1d-c48b22d63289,"£345,000",14 Dec 2022,Freehold,False
117,2b8b6eb4-ac77-4253-9a1d-c48b22d63289,"£315,000",27 May 2021,Freehold,False
118,2b8b6eb4-ac77-4253-9a1d-c48b22d63289,"£226,950",22 Dec 2016,Freehold,True
119,54bc2ca6-0469-4613-9bc4-f1472c94d0a6,"£305,000",29 Nov 2022,Freehold,False
120,54bc2ca6-0469-4613-9bc4-f1472c94d0a6,"£170,000",19 Aug 2005,Freehold,False
121,122f3142-359a-43b7-afd3-974a2fa7338a,"£485,000",17 Nov 2022,Freehold,False
122,122f3142-359a-43b7-afd3-974a2fa7338a,"£350,000",30 Jun 2017,Freehold,False
123,122f3142-359a-43b7-afd3-974a2fa7338a,"£250,000",10 Jun 2016,Freehold,False
124,8849966a-4e23-4c46-bdf1-f56ad5f2368a,"£442,500",8 Nov 2022,Freehold,False
125,5a564506-b7e3-4ff5-b15b-e64a6416c36d,"£230,000",7 Nov 2022,Freehold,False
126,5a564506-b7e3-4ff5-b15b-e64a6416c36d,"£220,000",30 Mar 2012,Freehold,True
127,e05bc0bb-8111-47a4-bae8-7038570e6b6d,"£435,000",4 Nov 2022,Freehold,False
128,e05bc0bb-8111-47a4-bae8-7038570e6b6d,"£95,000",29 Jun 1998,Freehold,False
129,4084fd15-f9dc-496f-87aa-27b2e05339e2,"£375,000",28 Oct 2022,Freehold,False
130,4084fd15-f9dc-496f-87aa-27b2e05339e2,"£249,950",24 Apr 2008,Freehold,True
131,716937ca-c825-483b-9b92-df4c14e872dd,"£280,000",28 Oct 2022,Freehold,False
132,716937ca-c825-483b-9b92-df4c14e872dd,"£203,950",31 May 2016,Freehold,True
133,4f29f910-4c0f-4f77-9efe-4da9fbe93d1e,"£240,000",20 Oct 2022,Freehold,False
134,4f29f910-4c0f-4f77-9efe-4da9fbe93d1e,"£63,500",1 Oct 1999,Freehold,False
135,ecbb8db4-e8f8-4e98-a61b-e6cb05800e66,"£210,000",14 Oct 2022,Freehold,False
136,ecbb8db4-e8f8-4e98-a61b-e6cb05800e66,"£130,000",7 Jan 2011,Freehold,True
137,bbc617b5-915c-4093-9cf8-e11921a6f24a,"£460,000",14 Oct 2022,Freehold,False
138,bbc617b5-915c-4093-9cf8-e11921a6f24a,"£350,000",7 Mar 2019,Freehold,False
139,bbc617b5-915c-4093-9cf8-e11921a6f24a,"£332,000",20 Sep 2016,Freehold,False
140,bbc617b5-915c-4093-9cf8-e11921a6f24a,"£246,000",17 May 2006,Freehold,False
141,e73edb21-148e-4f9e-9d82-bfad33964a23,"£295,000",14 Oct 2022,Freehold,False
142,e73edb21-148e-4f9e-9d82-bfad33964a23,"£191,950",30 Jun 2016,Freehold,True
143,41ac9f81-dd5b-490c-938f-6ce2dfa1943c,"£479,000",4 Oct 2022,Freehold,False
144,41ac9f81-dd5b-490c-938f-6ce2dfa1943c,"£218,000",16 Jul 2003,Freehold,False
145,20605e9a-0b88-4c94-995d-c7c37f3a09fe,"£320,000",30 Sep 2022,Freehold,False
146,20605e9a-0b88-4c94-995d-c7c37f3a09fe,"£238,000",30 Jan 2018,Freehold,False
147,20605e9a-0b88-4c94-995d-c7c37f3a09fe,"£212,000",15 Oct 2015,Freehold,False
148,20605e9a-0b88-4c94-995d-c7c37f3a09fe,"£175,000",19 Dec 2008,Freehold,True
149,a9ed286d-4bb8-4030-834b-206520ea4505,"£105,000",30 Sep 2022,Leasehold,False
150,a9ed286d-4bb8-4030-834b-206520ea4505,"£71,000",7 Nov 2014,Leasehold,False
151,a9ed286d-4bb8-4030-834b-206520ea4505,"£65,000",19 Nov 2004,Leasehold,False
152,eefab63a-6072-4fca-8383-c5bacd5be2da,"£445,000",23 Sep 2022,Freehold,False
153,afcd6072-7355-49ae-b0f5-f9bba632aa42,"£460,000",16 Sep 2022,Freehold,False
154,afcd6072-7355-49ae-b0f5-f9bba632aa42,"£375,000",25 Sep 2020,Freehold,True
155,2d6acc01-cc9e-4253-b840-5d5554442184,"£1,400,000",16 Sep 2022,Freehold,False
156,5fdda027-c8d2-4f16-8c6b-62084d05a5cb,"£650,000",9 Sep 2022,Freehold,False
157,5fdda027-c8d2-4f16-8c6b-62084d05a5cb,"£490,000",3 Jan 2018,Freehold,False
158,3c3a93c6-67ca-4562-acf1-33ed6e1869c7,"£250,000",7 Sep 2022,Freehold,False
159,3c3a93c6-67ca-4562-acf1-33ed6e1869c7,"£135,000",7 May 2010,Freehold,False
160,3c3a93c6-67ca-4562-acf1-33ed6e1869c7,"£105,000",31 Jan 2003,Freehold,False
161,3c3a93c6-67ca-4562-acf1-33ed6e1869c7,"£38,500",5 Sep 1996,Freehold,False
