,property_id,displayPrice,dateSold,tenure,newBuild
81,a74bdb80-9fae-44bf-8847-9788322e46ee,"£172,000",31 Jan 2023,Freehold,False
82,a74bdb80-9fae-44bf-8847-9788322e46ee,"£74,000",6 Dec 2013,Freehold,False
83,8c486b55-0e5b-46b7-8a3e-099b6e1150e7,"£310,500",27 Jan 2023,Freehold,False
84,8c486b55-0e5b-46b7-8a3e-099b6e1150e7,"£176,500",16 May 2014,Freehold,False
85,8c486b55-0e5b-46b7-8a3e-099b6e1150e7,"£80,000",27 Nov 1998,Freehold,True
86,290c1e45-1843-4c72-b350-acff547cb9f0,"£158,500",27 Jan 2023,Freehold,False
87,290c1e45-1843-4c72-b350-acff547cb9f0,"£47,500",7 Dec 2001,Freehold,False
88,038c662d-b37a-4837-a0b9-49532fb55cb1,"£155,000",27 Jan 2023,Freehold,False
89,038c662d-b37a-4837-a0b9-49532fb55cb1,"£92,000",6 Aug 2004,Freehold,False
90,a621342b-e85a-49ce-8a10-0b57e566935f,"£233,000",27 Jan 2023,Freehold,False
91,a621342b-e85a-49ce-8a10-0b57e566935f,"£128,000",27 Feb 2015,Freehold,False
92,29e8cee7-f3eb-4f62-8163-0f299754a110,"£150,000",27 Jan 2023,Freehold,False
93,84706678-f813-4367-b65a-708d1e4588c1,"£285,000",27 Jan 2023,Freehold,False
94,84706678-f813-4367-b65a-708d1e4588c1,"£165,000",12 Nov 2021,Freehold,False
95,88341b99-31d9-4cf7-b250-04443a3801e6,"£59,950",27 Jan 2023,Leasehold,False
96,88341b99-31d9-4cf7-b250-04443a3801e6,"£54,950",10 Feb 2020,Leasehold,False
97,fa5d722f-08d1-44f3-be9d-c87e27616a6e,"£280,000",26 Jan 2023,Freehold,False
98,fa5d722f-08d1-44f3-be9d-c87e27616a6e,"£248,500",17 Aug 2020,Freehold,False
99,fa5d722f-08d1-44f3-be9d-c87e27616a6e,"£235,000",5 Sep 2018,Freehold,False
100,854fa1c5-6dd0-4ada-94fe-e1047ab3b19a,"£124,000",26 Jan 2023,Leasehold,False
